Sl,DATE,CSUSHPISA,Year,Month,capita_GDP,Working_age_pop,Houses,CPI,median_income,Subsidy,Num_Households,EmpRate,UNRATE,Cons_material,FEDFUNDS,urban_pop_us,old_age_pop
227,2021-11-01,277.21,2021,11,65651,205364326.7,6,278.711,76330,45.299,129224,70.6463691,4.2,328.94,0.08,82.9,16.7
228,2021-12-01,281.342,2021,12,65651,205320479.4,5.6,280.887,76330,45.299,129224,70.8055324,3.9,335.032,0.08,82.9,16.7
229,2022-01-01,285.924,2022,1,65286,207106806.9,5.8,282.599,74580,48.021,131202,70.7600098,4,345.742,0.08,83.1,17.1
230,2022-02-01,291.153,2022,2,65286,207104221.8,6.2,284.61,74580,48.021,131202,70.9005027,3.8,343.583,0.08,83.1,17.1
231,2022-03-01,296.445,2022,3,65286,207013003.7,7,287.472,74580,48.021,131202,71.266867,3.6,345.852,0.2,83.1,17.1
232,2022-04-01,300.573,2022,4,65127,207064955.4,8.5,288.611,74580,48.021,131202,71.222821,3.6,343.786,0.33,83.1,17.1
233,2022-05-01,303.762,2022,5,65127,207270515.8,8.3,291.268,74580,48.021,131202,71.3707749,3.6,353.015,0.77,83.1,17.1
234,2022-06-01,304.724,2022,6,65127,207394728.3,9.5,294.728,74580,48.021,131202,71.2286844,3.6,349.8,1.21,83.1,17.1
235,2022-07-01,303.879,2022,7,65462,207407819.6,10.1,294.628,74580,48.021,131202,71.3161809,3.5,346.79,1.68,83.1,17.1
236,2022-08-01,301.473,2022,8,65462,207370651,8.7,295.32,74580,48.021,131202,71.4525589,3.7,342.753,2.33,83.1,17.1
237,2022-09-01,299.353,2022,9,65462,207453580.5,9.7,296.539,74580,48.021,131202,71.4188772,3.5,336.464,2.56,83.1,17.1
238,2022-10-01,298.873,2022,10,65783,207431164.7,9.7,297.987,74580,48.021,131202,71.2737726,3.7,333.796,3.08,83.1,17.1
239,2022-11-01,298.269,2022,11,65783,207521914.2,9.4,298.598,74580,48.021,131202,71.334177,3.6,330.369,3.78,83.1,17.1
240,2022-12-01,297.413,2022,12,65783,207524486.3,8.5,298.99,74580,48.021,131202,71.5870713,3.5,326.449,4.1,83.1,17.1
241,2023-01-01,297.03,2023,1,66078,208146215.8,0,300.536,74580,48.021,131434,71.7055091,3.4,327.338,4.33,0.0,0.0
242,2023-02-01,297.537,2023,2,66078,208253373.2,0,301.648,74580,48.021,131434,71.7417106,3.6,330.532,4.57,0.0,0.0
243,2023-03-01,298.637,2023,3,66078,208290967.2,0,301.808,74580,48.021,131434,71.8974825,3.5,331.729,4.65,0.0,0.0
244,2023-04-01,300.213,2023,4,66341,208392885.8,0,302.918,74580,48.021,131434,71.9822651,3.4,333.366,4.83,0.0,0.0
245,2023-05-01,302.566,2023,5,66341,208612844.2,0,303.294,74580,48.021,131434,71.9329813,3.7,337.473,5.06,0.0,0.0
246,2023-06-01,304.593,2023,6,66341,208706920,0,303.841,74580,48.021,131434,71.9932422,3.6,337.336,5.08,0.0,0.0
247,2023-07-01,306.767,2023,7,67083,208779237.3,0,304.348,74580,48.021,131434,71.9535234,3.5,334.512,5.12,0.0,0.0
248,2023-08-01,309.155,2023,8,67083,208906586.8,0,306.269,74580,48.021,131434,72.0554705,3.8,333.786,5.33,0.0,0.0
249,2023-09-01,311.175,2023,9,67083,209117169.8,0,307.481,74580,48.021,131434,72.0540786,3.8,332.084,5.33,0.0,0.0
250,2023-10-01,311.175,2023,10,67083,209039442.2,0,307.619,74580,48.021,131434,71.979163,3.9,328.721,5.33,0.0,0.0
251,2023-11-01,311.175,2023,11,67083,209039442.2,0,307.917,74580,48.021,131434,71.979163,3.7,327.242,5.33,0.0,0.0
252,2023-12-01,311.175,2023,12,67083,209039442.2,0,307.917,74580,48.021,131434,71.979163,3.7,327.242,5.33,0.0,0.0
